"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","UNEMPEDU","TRY","PC_25_64","A","2010",3.0562732,
"CHE","UNEMPEDU","TRY","PC_25_64","A","2011",2.9083498,
"CHE","UNEMPEDU","TRY","PC_25_64","A","2012",2.9874268,
"CHE","UNEMPEDU","TRY","PC_25_64","A","2013",3.3703372,
"CHE","UNEMPEDU","TRY","PC_25_64","A","2014",3.4461434,
"CHE","UNEMPEDU","TRY","PC_25_64","A","2015",3.4246793,
"CHE","UNEMPEDU","TRY","PC_25_64","A","2016",3.3391376,
"CHE","UNEMPEDU","TRY","PC_25_64","A","2017",3.8150232,
"CHE","UNEMPEDU","TRY","PC_25_64","A","2018",3.5187626,
"CHE","UNEMPEDU","TRY","PC_25_64","A","2019",3.2542498,
"CHE","UNEMPEDU","TRY","PC_25_64","A","2020",3.518003,
